527,Bajaj Platina 100,72 km/l,"Rs. 67,808"
528,Bajaj Platina 110,70 km/l,"Rs. 70,400"
529,Bajaj CT 110X,70 km/l,"Rs. 69,216"
530,Hero HF Deluxe,70 km/l,"Rs. 59,998"
531,TVS Radeon,69.3 km/l,"Rs. 62,405"
532,TVS Raider,67 km/l,"Rs. 95,219"
533,TVS Star City Plus,66.34 km/l,"Rs. 78,770"
534,Honda Shine 100,65 km/l,"Rs. 64,900"
535,Honda SP 125,65 km/l,"Rs. 86,017"
536,Honda CD 110 Dream,65 km/l,"Rs. 73,400"
537,Bajaj Pulsar NS 125,64.75 km/l,"Rs. 99,571"
538,Oben Rorr,200 km (Range),Rs. 1.50 lakhs
539,Ola S1 Pro,195 km (Range),Rs. 1.40 lakhs
540,Tork Kratos R,180 km (Range),Rs. 1.67 lakhs
541,Revolt RV 400,150 km (Range),Rs. 1.27 lakhs
542,Ather 450X 3rd Gen,150 km (Range),Rs. 1.26 lakhs
653,Honda Livo,60 - 74 km/l,"Rs. 73,150"
543,Hop Oxo,150 km (Range),Rs. 1.43 lakhs
544,TVS iQube,145 km (Range),Rs. 1.17 lakhs
545,Pure EV eTryst 350,90 km to 140 km (Range),Rs. 1.50 lakhs
546,Hero Glamour,60 km/l,"Rs. 83,106"
547,Honda Unicorn,60 km/l,"Rs.1,09,679"
548,Hero Passion Plus,70 km/l,"Rs. 80,538"
549,Honda Livo,60 - 74 km/l,"Rs. 73,150"
550,Hero Splendor Plus XTEC,83.2 km/l,"Rs. 79,911"
551,Hero Splendor Plus,80.6 km/l,"Rs. 75,141"
552,TVS Sport,73 km/l,"Rs. 59,431"
553,Bajaj Platina 100,72 km/l,"Rs. 67,808"
554,Bajaj Platina 110,70 km/l,"Rs. 70,400"
555,Bajaj CT 110X,70 km/l,"Rs. 69,216"
556,Hero HF Deluxe,70 km/l,"Rs. 59,998"
557,TVS Radeon,69.3 km/l,"Rs. 62,405"
558,TVS Raider,67 km/l,"Rs. 95,219"
559,TVS Star City Plus,66.34 km/l,"Rs. 78,770"
560,Honda Shine 100,65 km/l,"Rs. 64,900"
561,Honda SP 125,65 km/l,"Rs. 86,017"
562,Honda CD 110 Dream,65 km/l,"Rs. 73,400"
563,Bajaj Pulsar NS 125,64.75 km/l,"Rs. 99,571"
